cluster_id,category,subcategory,size,keywords
85,math,math.CA,44,"polynomials, orthogonal, orthogonal polynomials, functions, operator"
86,math,math.CO,12,"binomial, functions, sequences, examples, les"
87,math,math.CO,38,"graphs, given, proof, sets, number"
88,math,math.CT,26,"categories, theory, notion, category, monoidal"
89,math,math.CV,24,"analytic, homeomorphisms, theorem, real, domains"
90,math,math.DG,18,"functions, manifolds, manifold, structures, infinity"
91,math,math.DG,18,"lie, bundle, vector, differential, smooth"
92,math,math.DS,39,"maps, measure, set, sets, prove"
93,math,math.FA,14,"space, banach, banach space, isomorphic, approximation property"
94,math,math.FA,27,"spaces, operator, space, interpolation, banach"
95,math,math.GM,17,"sequences, integer, problems, using, polynomial"
96,math,math.GM,13,"mathematical, new, logic, devoted, article"
97,math,math.GN,40,"spaces, topological, paper, space, groups"
98,math,math.GR,16,"group, available, algorithms, problem, presented"
99,math,math.GR,15,"groups, free, biautomatic, hyperbolic, new"
100,math,math.GT,24,"manifolds, manifold, hyperbolic, closed, group"
101,math,math.GT,15,"theory, dehn, homology, applications, results"
102,math,math.HO,15,"proof, algebra, mathematical, proofs, electronic"
103,math,math.HO,12,"complexity, mathematics, theoretical, physics, theoretical physics"
104,math,math.HO,14,"author, numbers, theory, biographical, sketch"
105,math,math.IT,16,"codes, bound, binary, code, quantum"
106,math,math.IT,34,"information, channels, capacity, distortion, fading"
107,math,math.KT,17,"groups, group, conjecture, isomorphism, prove"
108,math,math.KT,17,"algebras, hopf, cyclic, cohomology, cyclic cohomology"
109,math,math.LO,11,"aleph_, universal, uniform, theory, ordering"
110,math,math.LO,16,"iteration, section, omega, omega_, proof"
111,math,math.MG,38,"convex, sets, theorem, plane, problem"
112,math,math.MG,11,"conjecture, packing, density, proof, mathmg"
113,math,math.MP,22,"equation, systems, equations, type, solutions"
114,math,math.NA,49,"nonlinear, numerical, solution, method, problem"
115,math,math.NT,12,"riemann, lfunctions, zetafunction, floorx, riemann zetafunction"
116,math,math.NT,10,"modular, forms, modular forms, galois representations, representations"
117,math,math.NT,14,"function, number, fields, field, finite"
118,math,math.OA,30,"product, algebras, group, calgebras, finite"
119,math,math.OC,44,"systems, control, fractionalorder, method, laws"
120,math,math.PR,20,"random, walk, sites, random walk, independent"
121,math,math.PR,23,"brownian, motion, brownian motion, space, process"
122,math,math.QA,19,"polynomials, algebra, cohomology, algebras, lie"
123,math,math.QA,29,"quantum, algebras, algebra, hopf, hopf algebras"
124,math,math.RA,12,"matrix, real, eigenvalues, matrices, bound"
125,math,math.RA,14,"finite, theory, variety, result, congruence"
126,math,math.RA,10,"groups, group, rings, dimension, kg"
127,math,math.RA,11,"algebra, algebras, dimension, lie, clifford"
128,math,math.RT,20,"prehomogeneous, vector, prehomogeneous vector, space, spaces"
129,math,math.RT,27,"representations, lie, algebras, algebra, irreducible"
130,math,math.SG,40,"symplectic, group, space, hamiltonian, lagrangian"
131,math,math.SP,34,"operator, spectrum, spectral, eigenvalues, operators"
132,math,math.SP,13,"matrixvalued, theorem, operators, proof, schrodinger operators"
133,math,math.ST,12,"model, regression, angle regression, angle, discussion angle"
134,math,math.ST,13,"estimators, density, estimator, asymptotic, deconvolution"
135,math,math.ST,18,"estimator, likelihood, variance, analysis, parameter"
136,math-ph,math-ph,22,"equation, systems, equations, type, solutions"
137,nlin,nlin.AO,11,"dynamics, networks, structure, avalanche, dynamical"
138,nlin,nlin.AO,18,"distribution, model, information, networks, different"
139,nlin,nlin.CD,22,"method, time, series, time series, models"
140,nlin,nlin.CD,23,"lyapunov, maps, exponents, lyapunov exponents, billiard"
141,nlin,nlin.CG,11,"coarse, microscopic, model, method, approach"
142,nlin,nlin.CG,25,"automata, cellular, cellular automata, ca, rules"
143,nlin,nlin.PS,19,"solitons, spatial, spatial solitons, optical, dark"
144,nlin,nlin.PS,24,"pattern, patterns, solutions, dynamics, equations"
145,nlin,nlin.SI,16,"nonlinear, equations, solutions, proposed, discrete"
146,nlin,nlin.SI,17,"models, lax, transformations, kp, present"
147,nucl-ex,nucl-ex,44,"energy, mev, flow, charge, data"
148,nucl-th,nucl-th,31,"model, using, rotational, approximation, nuclear"
149,physics,physics.acc-ph,12,"colliders, muon, beambeam, collider, discussed"
150,physics,physics.acc-ph,38,"beam, bunch, radiation, undulator, wire"
151,physics,physics.ao-ph,10,"ensemble, forecasts, probabilistic, likelihood, temperature"
152,physics,physics.ao-ph,38,"model, approximation, precipitation, cloud, layer"
153,physics,physics.app-ph,26,"antenna, power, ghz, solar, cell"
154,physics,physics.app-ph,21,"frequency, nonlinear, dynamic, regime, emitter"
155,physics,physics.atm-clus,49,"clusters, cluster, atoms, laser, energy"
156,physics,physics.atom-ph,19,"momentum, state, population, equations, trapping"
157,physics,physics.atom-ph,21,"hyperfine, nuclear, alpha, correction, results"
158,physics,physics.bio-ph,26,"motion, model, approach, human, cells"
159,physics,physics.bio-ph,11,"bilayer, membrane, methods, lipid, temperature"
160,physics,physics.chem-ph,10,"model, algebraic, models, algebraic model, vibrations"
161,physics,physics.chem-ph,39,"quantum, state, energy, using, states"
162,physics,physics.class-ph,17,"equations, maxwell, maxwell equations, lagrangian, solutions"
163,physics,physics.class-ph,12,"radiation, particle, electromagnetic, field, charge"
164,physics,physics.comp-ph,29,"method, algorithm, systems, methods, presented"
165,physics,physics.data-an,11,"gaussian, complexity, priors, entropy, mixture"
166,physics,physics.data-an,26,"method, distribution, approach, data, information"
167,physics,physics.ed-ph,28,"physics, course, quantum, field, students"
168,physics,physics.ed-ph,17,"motion, discuss, equation, elements, problems"
169,physics,physics.flu-dyn,49,"flow, fluid, collapse, velocity, flows"
170,physics,physics.gen-ph,12,"lorentz, particles, vacuum, speed, critical"
171,physics,physics.gen-ph,21,"relativity, general, quantum, new, gravitational"
172,physics,physics.geo-ph,24,"model, earths, earth, aftershocks, distribution"
173,physics,physics.geo-ph,19,"tec, ionospheric, gps, response, total"
174,physics,physics.hist-ph,21,"theory, general, relativity, physics, quantum"
175,physics,physics.hist-ph,11,"data, chronology, der, astronomical, historical"
176,physics,physics.ins-det,19,"energy, high, neutron, detector, source"
177,physics,physics.ins-det,21,"radiation, detectors, xray, channel, trigger"
178,physics,physics.med-ph,9,"images, lesions, gpcalma, grid, radiologists"
179,physics,physics.med-ph,38,"dose, mm, model, reconstruction, field"
180,physics,physics.optics,27,"scattering, light, nonlinear, pulse, films"
181,physics,physics.optics,19,"laser, mode, paper, cavity, states"
182,physics,physics.plasm-ph,12,"model, equation, kinetic, obtained, dynamics"
183,physics,physics.plasm-ph,28,"plasma, magnetic, field, wave, waves"
184,physics,physics.pop-ph,23,"quantum, world, theory, physics, article"
185,physics,physics.soc-ph,13,"networks, power, network, market, function"
186,physics,physics.soc-ph,37,"model, languages, different, social, physics"
187,physics,physics.space-ph,17,"magnetic, field, magnetic field, solar, wave"
188,physics,physics.space-ph,18,"line, used, period, presented, experiments"
189,q-bio,q-bio.BM,17,"dna, model, length, myosin, kinesin"
190,q-bio,q-bio.BM,27,"folding, protein, proteins, sequence, contact"
191,q-bio,q-bio.CB,42,"model, cells, cell, growth, pattern"
192,q-bio,q-bio.GN,50,"genes, gene, sequences, editing, genome"
193,q-bio,q-bio.MN,26,"models, networks, network, protein, motifs"
194,q-bio,q-bio.MN,12,"stability, model, noise, switch, gene"
195,q-bio,q-bio.NC,18,"network, activity, computation, noise, inputs"
196,q-bio,q-bio.NC,14,"spike, signal, firing, response, neurons"
197,q-bio,q-bio.OT,49,"genetic, code, model, genetic code, number"
198,q-bio,q-bio.PE,8,"longevity, mortality, shape, demographic, model"
199,q-bio,q-bio.PE,42,"species, model, epidemic, mutation, population"
200,q-bio,q-bio.QM,21,"model, models, solution, comparison, problem"
201,q-bio,q-bio.QM,17,"gene, data, expression, biology, experiments"
202,q-bio,q-bio.SC,27,"motor, model, cargo, chromatin, motors"
203,q-bio,q-bio.SC,13,"membrane, field, proteins, layers, oscillations"
204,q-bio,q-bio.TO,49,"model, tumor, growth, paper, tissue"
205,q-fin,q-fin.CP,46,"model, method, numerical, carlo, volatility"
206,q-fin,q-fin.EC,14,"model, economic, dynamic, case, single"
207,q-fin,q-fin.EC,19,"countries, tax, price, market, products"
208,q-fin,q-fin.GN,12,"agents, price, market, equilibrium, density"
209,q-fin,q-fin.GN,13,"market, markets, stock market, stock, integration"
210,q-fin,q-fin.GN,13,"economics, crisis, econophysics, new, prediction"
211,q-fin,q-fin.MF,39,"models, volatility, process, market, time"
212,q-fin,q-fin.PM,22,"portfolio, return, model, returns, market"
213,q-fin,q-fin.PM,20,"utility, problem, paper, function, optimal"
214,q-fin,q-fin.PR,29,"volatility, options, option, implied, pricing"
215,q-fin,q-fin.PR,15,"credit, default, recovery, bonds, model"
216,q-fin,q-fin.RM,39,"risk, model, loss, portfolio, default"
217,q-fin,q-fin.ST,46,"stock, market, distribution, price, financial"
218,q-fin,q-fin.TR,20,"model, agents, market, models, financial"
219,q-fin,q-fin.TR,15,"tick, transaction, optimal, information, costs"
220,quant-ph,quant-ph,14,"quantum, information, mechanics, quantum mechanics, shown"
221,quant-ph,quant-ph,21,"theory, quantum, measurements, retrodiction, particle"
222,stat,stat.AP,15,"study, discussed, problems, expression, test"
223,stat,stat.AP,24,"data, model, method, based, spatial"
224,stat,stat.CO,47,"algorithm, methods, sampling, algorithms, models"
225,stat,stat.ME,29,"data, models, networks, network, problem"
226,stat,stat.ML,42,"data, models, algorithm, method, present"
227,stat,stat.OT,28,"problem, random, paper, bayesian, processes"
228,stat,stat.OT,13,"university, statistical, statistics, professor, mathematical"
229,stat,stat.TH,12,"model, regression, angle regression, angle, discussion angle"
230,stat,stat.TH,13,"estimators, density, estimator, asymptotic, deconvolution"
231,stat,stat.TH,18,"estimator, likelihood, variance, analysis, parameter"
