category,subcategory,fine_topic_label,paper_count
physics,physics.data-an,"Data Analysis, Statistics and Probability",13
physics,physics.data-an,Gaussian Mixture Entropy Analysis,11
physics,physics.ed-ph,Quantum Physics Course Field Analysis,28
physics,physics.ed-ph,Motion Equation Problems,17
physics,physics.ed-ph,Physics Education,5
physics,physics.flu-dyn,Collapse Velocity Fluid,49
physics,physics.flu-dyn,Fluid Dynamics,1
physics,physics.gen-ph,New Quantum Gravitational Relativity,21
physics,physics.gen-ph,General Physics,17
physics,physics.gen-ph,Critical Lorentz Speed Particles Vacuum,12
physics,physics.geo-ph,Distribution Aftershocks Earths,24
physics,physics.geo-ph,Ionospheric Tec Gps Response,19
physics,physics.geo-ph,Geophysics,7
physics,physics.hist-ph,Quantum General Relativity Theory,21
physics,physics.hist-ph,History and Philosophy of Physics,18
physics,physics.hist-ph,Astronomical Chronology Historical,11
physics,physics.ins-det,X-Ray Radiation Channel Triggering,21
physics,physics.ins-det,- High Energy Neutron Detector,19
physics,physics.ins-det,Instrumentation and Detectors,10
physics,physics.med-ph,Dose Field Model Reconstruction,38
physics,physics.med-ph,Gpcalma Lesion Image Grid Analysis,9
physics,physics.med-ph,Medical Physics,3
physics,physics.optics,Scattering Nonlinear Light,27
physics,physics.optics,Laser Cavity Mode States,19
physics,physics.optics,Optics,4
physics,physics.plasm-ph,Magnetic Plasma Field,28
physics,physics.plasm-ph,Kinetic Plasma Equation Modeling,12
physics,physics.plasm-ph,Plasma Physics,10
physics,physics.pop-ph,Popular Physics,27
physics,physics.pop-ph,Quantum World Theory,23
physics,physics.soc-ph,Languages Different Physics,37
physics,physics.soc-ph,Power Network Market Function,13
physics,physics.space-ph,Line Period Experiments,18
physics,physics.space-ph,Solar Magnetic Waves,17
physics,physics.space-ph,Space Physics,15
q-bio,q-bio.BM,Proteins Sequence Folding,27
q-bio,q-bio.BM,Kinesin Length Myosin,17
q-bio,q-bio.BM,Biomolecules,6
q-bio,q-bio.CB,Modeling Cell Growth Patterns,42
q-bio,q-bio.CB,Cell Behavior,8
q-bio,q-bio.GN,Gene Editing Sequence Analysis,50
q-bio,q-bio.MN,Networks Network Protein,26
q-bio,q-bio.MN,Molecular Networks,12
q-bio,q-bio.MN,Stability Switch Model,12
q-bio,q-bio.NC,Neuron Noise Network Computation,18
q-bio,q-bio.NC,Neurons and Cognition,18
q-bio,q-bio.NC,Spike Signal Response Analysis,14
q-bio,q-bio.OT,Genetic Code Genetic Number,49
q-bio,q-bio.OT,Other Quantitative Biology,1
q-bio,q-bio.PE,Species Epidemic Mutation Model,42
q-bio,q-bio.PE,Demographic Longevity Mortality,8
q-bio,q-bio.QM,Model Comparison For Quantitative Biology,21
q-bio,q-bio.QM,Experiments Expression Biology,17
q-bio,q-bio.QM,Quantitative Methods,12
q-bio,q-bio.SC,Chromatin Motor Cargo Model,27
q-bio,q-bio.SC,Membrane Protein Field Oscillations,13
q-bio,q-bio.SC,Subcellular Processes,10
q-bio,q-bio.TO,Growth Tissue Model,49
q-bio,q-bio.TO,Tissues and Organs,1
q-fin,q-fin.CP,Carlo Volatility Method,46
q-fin,q-fin.CP,Computational Finance,4
q-fin,q-fin.EC,Countries Products Market,19
q-fin,q-fin.EC,Economics,17
q-fin,q-fin.EC,Single Economic Dynamic Model,14
q-fin,q-fin.GN,Econophysics Crisis Prediction,13
q-fin,q-fin.GN,Stock Market Integration Analysis,13
q-fin,q-fin.GN,Equilibrium Density Agents,12
q-fin,q-fin.GN,General Finance,12
q-fin,q-fin.MF,Volatility Process Models,39
q-fin,q-fin.MF,Mathematical Finance,11
q-fin,q-fin.PM,Portfolio Market Return Model,22
q-fin,q-fin.PM,Optimal Utility Portfolio Function,20
q-fin,q-fin.PM,Portfolio Management,8
q-fin,q-fin.PR,Volatility Options Implied,29
q-fin,q-fin.PR,Credit Bond Recovery Model,15
q-fin,q-fin.PR,Pricing of Securities,6
q-fin,q-fin.RM,Portfolio Default Risk Model,39
q-fin,q-fin.RM,Risk Management,11
q-fin,q-fin.ST,Distribution Financial Market,46
q-fin,q-fin.ST,Statistical Finance,4
q-fin,q-fin.TR,Agent-Based Market Model,20
q-fin,q-fin.TR,Optimal Tick Costs,15
q-fin,q-fin.TR,Trading and Market Microstructure,15
quant-ph,quant-ph,Measurements Retrodiction Particle,21
quant-ph,quant-ph,Quantum Physics,15
quant-ph,quant-ph,Quantum Mechanics Information Mechanics,14
stat,stat.AP,Spatial Data Modeling Method,24
stat,stat.AP,Expression Testing Problems,15
stat,stat.AP,Applications,11
stat,stat.CO,Algorithms Algorithm Sampling,47
stat,stat.CO,Computation,3
stat,stat.ME,Networks Network Problem,29
stat,stat.ME,Methodology,21
stat,stat.ML,Data-Driven Model Selection,42
stat,stat.ML,Machine Learning,8
stat,stat.OT,Bayesian Random Processes,28
stat,stat.OT,Mathematical Statistical University,13
stat,stat.OT,Other Statistics,9
stat,stat.TH,Likelihood Estimator Parameter,18
stat,stat.TH,Asymptotic Density Deconvolution,13
stat,stat.TH,Angle Regression Model Discussion,12
stat,stat.TH,Statistics Theory,7
